country,tree_cover_loss_ha,primary_forest_loss_ha,carbon_gross_emissions_MgCO2e,extent_2000_ha,extent_2010_ha,gain_2000-2012_ha,territories,recognized,not_recognized,area_km2,forest_extent_change_pct,recognition_ratio,restoration_pressure_score
Afghanistan,1912,0,368147.0,205771.0,71786.0,10738.0,22.0,0.0,22.0,204.42246550043,-65.11364575183092,0.0,1.002280147
Aland,17654,0,4795715.0,107739.0,103087.0,2583.0,,,,,-4.317842192706448,,1.022449715
Albania,47320,0,17323342.0,648459.0,588824.0,16468.0,,,,,-9.196417969370462,,1.064643342
Algeria,231651,0,44935476.0,1223325.0,821437.0,89147.0,,,,,-32.85210389716551,,1.2765864759999999
Angola,4230235,200544,1497661801.0,55276135.0,53831806.0,1224131.0,,,,,-2.6129341351380666,,6.727896801
Argentina,6968747,482661,1678738810.0,39069969.0,38368480.0,1107407.0,,,,,-1.7954685349251238,,9.64748581
Australia,9218341,68,2263333159.0,42281439.0,39481413.0,1600599.0,1510.0,1407.0,103.0,5451419.551430853,-6.622352659283901,0.9317880794701987,11.549886079529802
Austria,439219,0,228975785.0,4340284.0,4353244.0,36348.0,,,,,0.2985979719299474,,1.668194785
Azerbaijan,8334,0,2464528.0,1268606.0,1082392.0,30269.0,,,,,-14.678631505763018,,1.010798528
Bangladesh,261746,8842,152187804.0,1938958.0,2216745.0,317862.0,,,,,14.326612541375317,,1.413933804
Belarus,1172887,0,430679741.0,9118583.0,9486569.0,963614.0,,,,,4.035561227002046,,2.603566741
Belgium,122775,0,66717329.0,865425.0,890288.0,41687.0,,,,,2.8729237080047376,,1.1894923290000001
Belize,336685,169109,153728218.218,1755302.0,1755302.0,18728.0,,,,,0.0,,1.4904132182179999
Benin,47919,25,20790021.0,168201.0,434951.0,181245.0,,,,,158.59002027336342,,1.068709021
Bhutan,27399,9195,15186935.0,2577237.0,2508707.0,28220.0,,,,,-2.6590492065727753,,1.042585935
Bolivia,9778669,5666977,3780267711.0,64556285.0,62746658.0,617241.0,321.0,280.0,41.0,285062.67855202185,-2.803177103515173,0.8722741433021807,13.686662567697821
Bosnia And Herzegovina,41157,0,19578518.0,2657980.0,2579845.0,53276.0,,,,,-2.9396383719967796,,1.060735518
Botswana,512,0,108259.0,20328.0,4581.0,13304.0,35.0,7.0,28.0,466481.3838279824,-77.46458087367178,0.2,0.800620259
Brazil,73317081,33502925,38159569537.0,519056656.0,498076031.0,8066542.0,1608.0,1608.0,0.0,1625373.647725612,-4.042068386461458,1.0,111.47665053700001
Brunei,32437,16197,21432681.0,529333.0,528761.0,7532.0,,,,,-0.1080605214486911,,1.0538696810000001
Bulgaria,150156,0,61530351.0,4138949.0,3957413.0,106352.0,,,,,-4.386040997364306,,1.211686351
Burkina Faso,129,0,868933.0,130.0,2268.0,142622.0,,,,,1644.6153846153845,,1.000997933
Burundi,37509,364,17873710.0,537671.0,553128.0,16374.0,,,,,2.874806340680453,,1.05538271
Cambodia,2921505,1476068,1745812534.0,8828152.0,7659367.0,147442.0,536.0,536.0,0.0,15036.033689002435,-13.239294022123769,1.0,4.6673175339999995
Cameroon,2226205,1071885,1365691633.0,31459321.0,30543462.0,351063.0,713.0,711.0,2.0,43197.52131619828,-2.911248465915714,0.9971949509116409,3.5947016820883593
Canada,62647469,0,24466183168.0,418066874.0,421403090.0,16965174.0,3258.0,3258.0,0.0,625875.3883226436,0.7980101288771327,1.0,87.113652168
