country,year,pred_tree_loss_ha
Afghanistan,2025,6787.192446862027
Afghanistan,2026,6838.756577711021
Afghanistan,2027,6890.32070856003
Afghanistan,2028,6941.884839409031
Afghanistan,2029,6993.448970258032
Afghanistan,2030,7045.013101107019
Afghanistan,2031,7096.57723195602
Afghanistan,2032,7148.141362805021
Afghanistan,2033,7199.705493654015
Afghanistan,2034,7251.269624503009
Albania,2025,9203.13855168382
Albania,2026,9199.45124535152
Albania,2027,9195.763939019249
Albania,2028,9192.076632686956
Albania,2029,9188.389326354685
Albania,2030,9184.7020200224
Albania,2031,9181.014713690107
Albania,2032,9177.327407357829
Albania,2033,9173.640101025536
Albania,2034,9169.952794693258
Algeria,2025,28202.169195293172
Algeria,2026,29079.53962365567
Algeria,2027,29956.910052018473
Algeria,2028,30834.280480380883
Algeria,2029,31711.65090874367
Algeria,2030,32589.021337106475
Algeria,2031,33466.39176546897
Algeria,2032,34343.762193831746
Algeria,2033,35221.13262219427
Algeria,2034,36098.50305055706
Angola,2025,271091.3208991382
Angola,2026,281606.5038922101
Angola,2027,292121.68688528263
Angola,2028,302636.8698783545
Angola,2029,313152.0528714225
Angola,2030,323667.2358644943
Angola,2031,334182.4188575669
Angola,2032,344697.60185063933
Angola,2033,355212.78484371025
Angola,2034,365727.9678367827
Argentina,2025,248121.45829189866
Argentina,2026,245696.52104018256
Argentina,2027,243271.5837884663
Argentina,2028,240846.64653675025
Argentina,2029,238421.70928503392
Argentina,2030,235996.77203331736
Argentina,2031,233571.83478160005
Argentina,2032,231146.89752988378
Argentina,2033,228721.96027816774
Argentina,2034,226297.02302645147
Australia,2025,879467.9197736889
Australia,2026,912153.3978153456
Australia,2027,944838.8758569969
Australia,2028,977524.3538986412
Australia,2029,1010209.8319402958
Australia,2030,1042895.309981947
Australia,2031,1075580.7880235943
Australia,2032,1108266.266065248
Australia,2033,1140951.744106892
Australia,2034,1173637.222148547
Austria,2025,32582.71121586996
Austria,2026,33224.283951383724
Austria,2027,33865.85668689737
Austria,2028,34507.429422411034
Austria,2029,35149.00215792467
Austria,2030,35790.57489343824
Austria,2031,36432.14762895201
Austria,2032,37073.720364465655
Austria,2033,37715.293099979186
Austria,2034,38356.86583549298
Azerbaijan,2025,6105.969748370939
Azerbaijan,2026,6112.437217564999
Azerbaijan,2027,6118.904686759066
Azerbaijan,2028,6125.372155953162
Azerbaijan,2029,6131.8396251472295
Azerbaijan,2030,6138.3070943412895
Azerbaijan,2031,6144.774563535371
Azerbaijan,2032,6151.2420327294385
Azerbaijan,2033,6157.709501923528
Azerbaijan,2034,6164.1769711175875
Bangladesh,2025,33763.77620986666
