country,threshold,driver,year,tc_loss_ha
Afghanistan,30,Hard commodities,2014,0.0
Afghanistan,30,Logging,2001,3.0
Afghanistan,30,Logging,2002,64.0
Afghanistan,30,Logging,2003,73.0
Afghanistan,30,Logging,2004,143.0
Afghanistan,30,Logging,2005,142.0
Afghanistan,30,Logging,2006,102.0
Afghanistan,30,Logging,2007,182.0
Afghanistan,30,Logging,2008,67.0
Afghanistan,30,Logging,2009,33.0
Afghanistan,30,Logging,2010,67.0
Afghanistan,30,Logging,2011,41.0
Afghanistan,30,Logging,2012,11.0
Afghanistan,30,Logging,2013,0.0
Afghanistan,30,Logging,2014,1.0
Afghanistan,30,Logging,2018,24.0
Afghanistan,30,Logging,2019,8.0
Afghanistan,30,Logging,2020,31.0
Afghanistan,30,Logging,2021,23.0
Afghanistan,30,Logging,2022,5.0
Afghanistan,30,Logging,2023,6.0
Afghanistan,30,Logging,2024,2.0
Afghanistan,30,Other natural disturbances,2001,2.0
Afghanistan,30,Other natural disturbances,2002,3.0
Afghanistan,30,Other natural disturbances,2003,1.0
Afghanistan,30,Other natural disturbances,2004,1.0
Afghanistan,30,Other natural disturbances,2005,4.0
Afghanistan,30,Other natural disturbances,2006,0.0
Afghanistan,30,Other natural disturbances,2007,0.0
Afghanistan,30,Other natural disturbances,2008,2.0
Afghanistan,30,Other natural disturbances,2009,0.0
Afghanistan,30,Other natural disturbances,2010,0.0
Afghanistan,30,Other natural disturbances,2011,1.0
Afghanistan,30,Other natural disturbances,2012,0.0
Afghanistan,30,Other natural disturbances,2019,1.0
Afghanistan,30,Other natural disturbances,2023,0.0
Afghanistan,30,Other natural disturbances,2024,0.0
Afghanistan,30,Permanent agriculture,2001,63.0
Afghanistan,30,Permanent agriculture,2002,49.0
Afghanistan,30,Permanent agriculture,2003,11.0
Afghanistan,30,Permanent agriculture,2004,24.0
Afghanistan,30,Permanent agriculture,2005,12.0
Afghanistan,30,Permanent agriculture,2006,10.0
Afghanistan,30,Permanent agriculture,2007,9.0
Afghanistan,30,Permanent agriculture,2008,7.0
Afghanistan,30,Permanent agriculture,2009,8.0
Afghanistan,30,Permanent agriculture,2010,4.0
Afghanistan,30,Permanent agriculture,2011,4.0
Afghanistan,30,Permanent agriculture,2012,10.0
Afghanistan,30,Permanent agriculture,2013,0.0
Afghanistan,30,Permanent agriculture,2014,0.0
Afghanistan,30,Permanent agriculture,2019,0.0
Afghanistan,30,Permanent agriculture,2021,0.0
Afghanistan,30,Permanent agriculture,2022,0.0
Afghanistan,30,Permanent agriculture,2023,0.0
Afghanistan,30,Permanent agriculture,2024,0.0
Afghanistan,30,Settlements & Infrastructure,2023,0.0
Afghanistan,30,Settlements & Infrastructure,2024,0.0
Afghanistan,30,Wildfire,2001,1.0
Afghanistan,30,Wildfire,2002,34.0
Afghanistan,30,Wildfire,2003,134.0
Afghanistan,30,Wildfire,2004,13.0
Afghanistan,30,Wildfire,2005,51.0
Afghanistan,30,Wildfire,2006,23.0
Afghanistan,30,Wildfire,2007,36.0
Afghanistan,30,Wildfire,2008,19.0
Afghanistan,30,Wildfire,2009,12.0
Afghanistan,30,Wildfire,2010,6.0
Afghanistan,30,Wildfire,2011,53.0
Afghanistan,30,Wildfire,2012,5.0
Afghanistan,30,Wildfire,2018,0.0
Afghanistan,30,Wildfire,2019,2.0
Afghanistan,30,Wildfire,2020,1.0
Afghanistan,30,Wildfire,2021,2.0
Afghanistan,30,Wildfire,2022,0.0
Afghanistan,30,Wildfire,2023,6.0
Afghanistan,30,Wildfire,2024,5.0
Angola,30,Hard commodities,2001,266.0
Angola,30,Hard commodities,2002,192.0
Angola,30,Hard commodities,2003,550.0
Angola,30,Hard commodities,2004,539.0
Angola,30,Hard commodities,2005,941.0
Angola,30,Hard commodities,2006,1013.0
Angola,30,Hard commodities,2007,713.0
Angola,30,Hard commodities,2008,587.0
Angola,30,Hard commodities,2009,1193.0
Angola,30,Hard commodities,2010,963.0
Angola,30,Hard commodities,2011,446.0
Angola,30,Hard commodities,2012,646.0
Angola,30,Hard commodities,2013,1124.0
Angola,30,Hard commodities,2014,1251.0
Angola,30,Hard commodities,2015,1044.0
Angola,30,Hard commodities,2016,1445.0
Angola,30,Hard commodities,2017,2169.0
Angola,30,Hard commodities,2018,1573.0
Angola,30,Hard commodities,2019,945.0
Angola,30,Hard commodities,2020,837.0
Angola,30,Hard commodities,2021,1512.0
Angola,30,Hard commodities,2022,1906.0
Angola,30,Hard commodities,2023,2674.0
Angola,30,Hard commodities,2024,2245.0
Angola,30,Logging,2001,919.0
Angola,30,Logging,2002,828.0
Angola,30,Logging,2003,514.0
Angola,30,Logging,2004,837.0
Angola,30,Logging,2005,645.0
Angola,30,Logging,2006,1057.0
Angola,30,Logging,2007,1276.0
Angola,30,Logging,2008,498.0
Angola,30,Logging,2009,1873.0
Angola,30,Logging,2010,1621.0
Angola,30,Logging,2011,1754.0
Angola,30,Logging,2012,2775.0
Angola,30,Logging,2013,3998.0
Angola,30,Logging,2014,5591.0
Angola,30,Logging,2015,1952.0
Angola,30,Logging,2016,2193.0
Angola,30,Logging,2017,3339.0
Angola,30,Logging,2018,2211.0
Angola,30,Logging,2019,1970.0
Angola,30,Logging,2020,2047.0
Angola,30,Logging,2021,1856.0
Angola,30,Logging,2022,1068.0
Angola,30,Logging,2023,1356.0
Angola,30,Logging,2024,1656.0
Angola,30,Other natural disturbances,2001,1205.0
Angola,30,Other natural disturbances,2002,1336.0
Angola,30,Other natural disturbances,2003,1524.0
Angola,30,Other natural disturbances,2004,853.0
Angola,30,Other natural disturbances,2005,802.0
Angola,30,Other natural disturbances,2006,491.0
Angola,30,Other natural disturbances,2007,1061.0
Angola,30,Other natural disturbances,2008,719.0
Angola,30,Other natural disturbances,2009,980.0
Angola,30,Other natural disturbances,2010,869.0
Angola,30,Other natural disturbances,2011,850.0
Angola,30,Other natural disturbances,2012,1193.0
Angola,30,Other natural disturbances,2013,778.0
Angola,30,Other natural disturbances,2014,1015.0
Angola,30,Other natural disturbances,2015,410.0
Angola,30,Other natural disturbances,2016,394.0
Angola,30,Other natural disturbances,2017,455.0
Angola,30,Other natural disturbances,2018,273.0
Angola,30,Other natural disturbances,2019,107.0
Angola,30,Other natural disturbances,2020,256.0
Angola,30,Other natural disturbances,2021,340.0
Angola,30,Other natural disturbances,2022,213.0
Angola,30,Other natural disturbances,2023,284.0
Angola,30,Other natural disturbances,2024,629.0
Angola,30,Permanent agriculture,2001,59807.0
Angola,30,Permanent agriculture,2002,37636.0
Angola,30,Permanent agriculture,2003,31187.0
Angola,30,Permanent agriculture,2004,48927.0
Angola,30,Permanent agriculture,2005,64064.0
Angola,30,Permanent agriculture,2006,56097.0
Angola,30,Permanent agriculture,2007,98768.0
Angola,30,Permanent agriculture,2008,77135.0
Angola,30,Permanent agriculture,2009,126117.0
Angola,30,Permanent agriculture,2010,108563.0
Angola,30,Permanent agriculture,2011,143306.0
Angola,30,Permanent agriculture,2012,132326.0
Angola,30,Permanent agriculture,2013,106038.0
