country,subnational1,threshold,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023,tc_loss_ha_2024
Angola,Bengo,30,649,662,721,396,184,1428,691,1677,744,197,835,1778,538,1335,1550,944,980,1264,905,3783,1859,2580,1164
Angola,Benguela,30,0,0,0,0,0,7,0,5,2,2,5,12,4,5,0,4,3,7,4,8,11,5,4
Angola,Cabinda,30,446,258,218,477,444,496,340,645,595,1202,371,1259,4615,1264,1952,2100,1792,1490,854,1022,875,2154,865
Angola,Cuando Cubango,30,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,1,1,0,0
Angola,Cuanza Norte,30,542,485,67,309,45,1385,274,1253,857,717,1116,1703,1274,1122,1350,1259,1537,1396,741,4751,2401,1965,1492
Angola,Cuanza Sul,30,16,44,10,66,5,96,5,66,26,52,61,180,33,66,144,93,69,104,62,256,189,267,137
Angola,Luanda,30,0,0,0,0,0,1,0,2,0,0,7,3,7,0,1,0,2,0,0,0,0,0,0
Angola,Lunda Norte,30,17,4,11,16,32,33,22,42,28,19,44,83,144,88,166,197,269,232,211,289,181,308,234
Angola,Lunda Sul,30,29,50,39,15,61,109,16,46,134,52,71,26,119,97,166,170,154,165,230,225,126,269,195
Angola,Malanje,30,27,42,36,128,7,223,75,60,109,181,159,212,421,399,482,613,546,488,600,917,765,788,766
Angola,Moxico,30,57,47,86,27,166,176,145,178,343,317,236,251,276,284,434,406,286,250,346,546,767,488,1126
Angola,Uíge,30,1587,1277,829,1554,354,3949,961,1115,2262,1438,2467,3409,3165,4168,5287,5081,7644,4401,4745,12050,7895,8175,7162
Angola,Zaire,30,123,87,332,118,97,152,165,247,121,75,219,342,382,166,503,289,218,193,192,472,498,623,508
Argentina,Catamarca,30,128,1512,245,97,132,37,6,2,0,7,25,4,7,0,25,7,0,0,0,0,16,6,1
Argentina,Chaco,30,129,386,1271,1462,1104,922,1232,985,593,478,2497,1363,585,506,540,937,294,297,368,614,646,490,1159
Argentina,Formosa,30,1006,1776,3490,6246,3978,5089,8397,7312,8324,4420,9848,11121,7503,4016,4866,2830,2986,1143,3600,1902,3328,4314,2693
