country,territories,recognized,not_recognized,area_km2
Afghanistan,22,0,22,204.42246550043
Antigua and Barbuda,1,1,0,151.253390054
Australia,1510,1407,103,5451419.551430853
Bolivia,321,280,41,285062.67855202185
Botswana,35,7,28,466481.3838279824
Brazil,1608,1608,0,1625373.647725612
Cambodia,536,536,0,15036.033689002435
Cameroon,713,711,2,43197.521316198276
Canada,3258,3258,0,625875.3883226436
Central African Republic,1,0,1,3170.59207558
Chile,3052,3052,0,37303.75715665007
Colombia,1244,1244,0,411749.1410327914
Costa Rica,24,24,0,3320.50043107448
Democratic Republic of the Congo,196,195,1,40090.76149593484
Ecuador,754,604,150,80657.69325554879
Equatorial Guinea,98,98,0,1072.0715768801472
Gabon,39,38,1,7311.463800566601
Greenland (Denmark),1,0,1,2165116.17875
Guyana,118,118,0,35069.46751027393
Guyane Francaise,22,22,0,7122.648147365562
India,5636,5636,0,35830.187750628946
Ireland,4635,4635,0,4467.060187397927
Italy,3403,3403,0,304.6287418143441
Kenya,43,40,3,29365.3535777914
Liberia,52,52,0,9450.147400446378
Malawi,43,43,0,5.7650696934045005
Malaysia,61,0,61,6768.937424455
Mexico,30644,30644,0,967647.4751309323
Mozambique,1882,1882,0,234495.53568774255
Myanmar,67,67,0,76.3374193505094
Namibia,158,158,0,480912.5979993842
Nepal,739,739,0,815.2167702114227
New Zealand,26592,26592,0,12702.458669363308
Nicaragua,26,26,0,32385.80454967831
Panama,5,5,0,16632.902562953
Paraguay,678,678,0,11110.853356075037
Peru,2530,2257,273,214513.36185070474
Republic of the Congo,57,56,1,7921.763424590258
South Africa,11,11,0,170210.47739125
Spain,3544,3544,0,8407.154060605368
Taiwan,2816,2761,55,24367.378444679875
Tanzania,30,30,0,29433.428381730064
Uganda,5,5,0,4235.2691242259
United Kingdom - England,6982,6982,0,3696.092761455969
United States of America,20104,18891,1213,546799.4924253677
Venezuela,73,11,62,325784.80590861733
Zambia,101,101,0,577645.5830333122
Zimbabwe,146,146,0,157367.6246821573
