country,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e,gfw_forest_carbon_gross_emissions_2023__Mg_CO2e,gfw_forest_carbon_gross_emissions_2024__Mg_CO2e
Afghanistan,30,205771,12409398,123,15339,376800,-361461,27986.0,41762.0,47255.0,34770.0,39928.0,23558.0,41092.0,19422.0,13779.0,13779.0,19743.0,9337.0,310.0,660.0,0.0,0.0,0.0,4893.0,3708.0,11409.0,6772.0,1913.0,3435.0,2636.0
Afghanistan,50,148417,9765465,134,12657,275855,-263199,25603.0,32691.0,40574.0,29020.0,30591.0,18396.0,34523.0,15953.0,10286.0,10360.0,17316.0,7853.0,200.0,458.0,0.0,0.0,0.0,3920.0,3343.0,10321.0,6045.0,1664.0,2530.0,2106.0
Afghanistan,75,75480,5571655,150,6147,151074,-144926,15780.0,15308.0,21452.0,12907.0,12834.0,7749.0,15977.0,6535.0,4957.0,4547.0,8626.0,4047.0,43.0,101.0,0.0,0.0,0.0,1962.0,1743.0,6451.0,2477.0,668.0,1857.0,1512.0
Albania,30,648459,40958831,238,721806,5103589,-4381783,1417747.0,348556.0,189361.0,1406600.0,287405.0,440565.0,1729900.0,1852558.0,588617.0,287044.0,357544.0,2171740.0,891429.0,456856.0,120041.0,334094.0,448993.0,724335.0,429556.0,427420.0,506228.0,649874.0,948758.0,308121.0
Albania,50,534671,37239867,263,682919,4294627,-3611709,1358272.0,338279.0,178044.0,1356424.0,274510.0,426871.0,1681136.0,1775659.0,570370.0,276206.0,336756.0,2066390.0,822959.0,429610.0,113553.0,304691.0,403366.0,669011.0,404887.0,391385.0,449937.0,591504.0,895138.0,275104.0
Albania,75,363706,28761196,298,576299,3001723,-2425424,1137609.0,302029.0,144824.0,1182729.0,231010.0,380399.0,1483354.0,1537117.0,502663.0,243934.0,287866.0,1765615.0,666267.0,362343.0,96384.0,246233.0,315085.0,525536.0,340193.0,323959.0,348866.0,454707.0,740235.0,212226.0
Algeria,30,1223325,64822106,313,1872312,4873094,-3000781,574332.0,629840.0,868395.0,959382.0,920879.0,1083437.0,982184.0,1568410.0,2226731.0,630061.0,1914290.0,2145388.0,1543294.0,1811470.0,1281104.0,1558776.0,7772718.0,1459887.0,1387405.0,2389009.0,3527428.0,2488017.0,4037606.0,1175433.0
Algeria,50,895366,50658903,334,1540229,3547408,-2007180,444098.0,510355.0,724189.0,788005.0,757835.0,890742.0,822193.0,1315103.0,1889070.0,537714.0,1695317.0,1852821.0,1196064.0,1402692.0,1013324.0,1239873.0,6677159.0,1150688.0,1065845.0,1877798.0,2835513.0,1997821.0,3337529.0,943747.0
Algeria,75,496534,31035068,366,952542,1988182,-1035640,250927.0,326671.0,463436.0,477682.0,471890.0,557169.0,524595.0,818613.0,1241526.0,359028.0,1220527.0,1297178.0,660451.0,769348.0,587676.0,733439.0,4402963.0,679350.0,568567.0,1073346.0,1608185.0,1099440.0,2085997.0,582973.0
Angola,30,55276135,2879806419,296,62402574,170616018,-108213442,39294740.0,21107943.0,17242314.0,22129963.0,28182145.0,23202229.0,49525640.0,31784460.0,53731022.0,53362065.0,58093241.0,59464120.0,57602652.0,73779150.0,57495258.0,81701513.0,96868314.0,89321456.0,63088356.0,86151528.0,119823559.0,103197478.0,104232196.0,107280459.0
Angola,50,31905173,2122729314,363,45923900,101338638,-55414739,34369236.0,17462554.0,13989343.0,16205956.0,19941178.0,16960366.0,37235289.0,21632988.0,37091002.0,42660897.0,39176037.0,43653161.0,41449934.0,55987890.0,43937291.0,59684153.0,67567265.0,66297358.0,45496249.0,58026532.0,93825842.0,76650248.0,77337662.0,75535156.0
Angola,75,3782933,420593649,572,15612930,21077527,-5464598,20729331.0,7787604.0,6310977.0,4377538.0,5215374.0,2833241.0,16307479.0,5912006.0,10513564.0,10966564.0,7800963.0,11878341.0,14769642.0,17664730.0,14670957.0,20147468.0,19336194.0,22869458.0,15532866.0,15854443.0,40592551.0,28316917.0,29544095.0,24778013.0
Argentina,30,39069969,1445657711,227,69947451,162781598,-92834148,32550580.0,25247897.0,48731735.0,86305031.0,79708051.0,73106104.0,86998552.0,133264861.0,70116286.0,95353374.0,109718859.0,113857152.0,87423807.0,61539541.0,44936972.0,59421005.0,65046697.0,45966268.0,41087636.0,51442894.0,63898345.0,75036462.0,66700844.0,61279857.0
